Secret codes for all landscapes in The Sentinel (aka The Sentry)

Generated by: https://github.com/simonowen/sentcode

+------+----------+----------+----------+----------+----------+
| Land | BBC/C64  |   CPC    | Spectrum |  PC/ST   |  Amiga   |
+------+----------+----------+----------+----------+----------+
| 0000 | 06045387 | 41954266 | 75914644 | 63589488 | 68515374 |
| 0001 | 02254153 | 92416816 | 37043225 | 26657424 | 23778582 |
| 0002 | 88534263 | 77651325 | 51939364 | 70473693 | 44881440 |
| 0003 | 36478937 | 39380666 | 89195248 | 48626791 | 70511958 |
| 0004 | 81747818 | 68888059 | 14099537 | 94241566 | 51737669 |
| 0005 | 53670951 | 66799483 | 43983865 | 21614821 | 17877351 |
| 0006 | 76964997 | 45600956 | 37418839 | 45151883 | 50994690 |
| 0007 | 64949596 | 88070956 | 57977812 | 49219629 | 84257688 |
| 0008 | 76465990 | 97558411 | 46986565 | 77755547 | 16257084 |
| 0009 | 58618458 | 78959942 | 26945744 | 78405956 | 75861478 |
| 0010 | 67510065 | 97567465 | 42346548 | 08787481 | 43428170 |
| 0011 | 65614978 | 34128668 | 36798141 | 54538086 | 40556356 |
| 0012 | 40693494 | 12837047 | 69785429 | 96086475 | 46845888 |
| 0013 | 26006956 | 82497760 | 74274656 | 71664005 | 64263669 |
| 0014 | 05801695 | 89619176 | 51038918 | 86076867 | 95116641 |
| 0015 | 78871093 | 78844565 | 85754839 | 19876496 | 64046644 |
| 0016 | 99655727 | 69076196 | 89581208 | 44545550 | 66974534 |
| 0017 | 87507474 | 18167694 | 65791381 | 38796274 | 40859486 |
| 0018 | 89584716 | 34259849 | 06855873 | 71163975 | 68627185 |
| 0019 | 73490728 | 74546878 | 94889866 | 29887600 | 55742564 |
| 0020 | 91287667 | 78042177 | 87457664 | 77650927 | 13509661 |
| 0021 | 82598093 | 92261899 | 53766718 | 96179589 | 97749846 |
| 0022 | 79066357 | 41108601 | 88670629 | 59403787 | 96779955 |
| 0023 | 67748965 | 69780499 | 95571296 | 77974837 | 59975267 |
| 0024 | 65980879 | 84620577 | 68488641 | 36971075 | 57677950 |
| 0025 | 57574486 | 49636597 | 82879455 | 05993719 | 35627696 |
| 0026 | 14014389 | 06268381 | 88879285 | 74454072 | 89914167 |
| 0027 | 52784469 | 93449087 | 71385237 | 75256057 | 77438876 |
| 0028 | 37293679 | 85414694 | 69344891 | 98248747 | 45846230 |
| 0029 | 89224492 | 55711979 | 75586583 | 03913986 | 26436829 |
